user_id,target
0001d6e9,1
0002c77d,1
0002df5b,1
000b6068,1
00184a0c,0
001d2775,1
00227b7e,0
002c5b3b,0
003ef42c,1
00485338,1
00495761,0
00597c42,0
005af72a,0
005c783d,0
005d0351,1
00694890,0
006e9f1f,1
0071145e,0
0076f16b,1
007d0f25,1
007e3360,1
007eddf7,1
008181ab,1
0087bc59,1
009196e0,1
0099b9df,0
009bc273,1
00b1d3b8,1
00bfc411,1
00bfd9e9,0
00c096c9,0
00c83c87,1
00c8dc06,1
00d0c3bc,1
00d4acef,1
00da1177,1
00e288f9,1
00e41ed6,1
00ecae51,0
00f85f80,1
00f94e8e,1
01002115,1
010061c5,0
011347e3,0
011b4a4c,0
01258b97,1
012a446e,1
0130f497,1
01422cb0,0
0143253c,1
01437420,0
014a7d76,0
014c45ae,0
01563307,1
015a5f99,0
016a83b5,1
016f6461,0
017b3fc4,1
0187ac32,1
019ef733,1
019f9918,0
01a4ce01,1
01aca9d9,1
01b24f73,0
01b4b701,0
01bb5b88,0
01c0db3b,1
01c2df95,1
01c5f81b,1
01c846a6,1
01c967fe,1
01ca992e,0
01ce1bbe,0
01cfdbba,0
01d4cfd1,1
01ddd462,1
01e6a99a,0
01e6de1e,0
01e9142b,1
01ecdf97,1
01f76413,1
020b7f3b,0
02123293,0
02139e84,0
0214ba6d,1
02151ff9,1
02163a0d,1
02257629,0
0226604b,1
022ad936,1
02451be9,1
0246bf6b,0
024a6f7b,1
0255a8c0,1
0259539f,1
0265943a,0
0270433c,1
027ae43a,1
027f4a10,1
02855cae,0
02858bb2,1
02871ae0,1
0287be9a,0
028fdf80,1
0296d4a9,1
0298ea93,0
02a2d3c9,1
02a311fc,1
02a38417,1
02b2a280,1
02c6815e,1
02ccae6e,1
02cf6556,0
02d19aa6,1
02e273b5,1
02e2c00d,0
02e9bfc9,1
02f0ee11,0
02f16abf,1
02f428cf,0
02f5941b,0
02fa3a15,1
02ff256d,1
030240c1,0
030b82a8,1
030cb385,0
030d2df8,0
030d88e8,1
0310b03c,1
031bcdf3,1
03239170,0
03244866,0
032a62ad,0
0331bd7c,0
03405142,1
0349f0da,1
0354fa6c,1
0355aa58,1
0356645d,1
035b1cd1,0
03646cc0,1
036af305,1
036e47c9,1
037c64f2,0
037d82ea,0
037e69cd,0
0381498d,1
0387badb,0
0388802a,0
0388930d,1
038ecd46,1
039259ab,1
03940300,1
0398a486,0
0398cde7,0
039b18e3,1
039c73f3,0
03a163ee,1
03ab04ab,1
03b2933f,1
03b4fd6a,1
03b57982,0
03bfc1df,0
03c15330,0
03d21a22,1
03d42efe,0
03d79b1b,1
03de108d,0
03e81b2d,1
03ea5801,1
03f2eedf,0
03f452f0,0
04025471,1
0404db4f,1
04057b85,1
04065dd4,1
040806cd,0
040a8dd6,1
04109309,1
0411dab8,0
041879a6,1
04206e93,1
04221753,0
0429858f,0
042b65ac,1
0431f816,1
043222bb,1
043550ce,1
04369304,0
0436b37f,1
04382893,1
04389c88,0
043d9dc9,0
044aa141,0
044bbcce,1
0451aa74,1
045849c8,1
045b01cf,1
045ee0e9,1
045f53bb,1
046712fc,1
0473c4ef,1
047b2e72,1
04894a6e,0
0498df9c,0
0499807a,1
049a3c6b,0
049c09d2,0
04a239e7,1
04a29a09,0
04acdcab,1
04ad5c46,0
04af8c0a,1
04b23f12,0
04b44fbf,1
04b4c9bd,0
04bf896d,1
04c7aa59,1
04d1c843,0
04d38938,1
04d3eba5,0
04d3fc9b,1
04dd6b09,1
04e0a6cd,1
04e55eab,1
04e6a7d0,1
04e8ab26,0
04faa957,0
0506fbee,0
050b7cc1,0
0513a891,1
0514e14c,0
051599b8,1
0518bf2b,1
05257849,1
052f32d6,0
054168e3,0
05486a83,0
0548cbe7,0
055285b6,0
0554d259,1
055703cb,1
055e3dd7,1
056a87b5,1
056ce75c,1
05715545,1
0572c965,1
057882b0,1
057a3253,1
057bbbc0,1
058e8dc0,0
058e9252,1
05977dbe,1
059a8b63,1
059eb7f4,0
05a4f0b7,1
05a6d639,1
05b10a4f,1
05b90e46,0
